Winner,WPts,Loser,LPts
North Carolina State,34,Wake Forest,24
Georgia Tech,24,Clemson,21
Stanford,30,Boston College,20
Duke,45,North Carolina State,33
Syracuse,34,Clemson,21
Virginia,48,Stanford,20
Virginia,46,Florida State,38
California,28,Boston College,24
Duke,38,Syracuse,3
Georgia Tech,30,Wake Forest,29
Louisville,34,Pittsburgh,27
Virginia Tech,23,North Carolina State,21
Clemson,38,North Carolina,10
Duke,45,California,21
Miami ,28,Florida State,22
Pittsburgh,48,Boston College,7
Southern Methodist,31,Syracuse,18
Virginia,30,Louisville,27
Wake Forest,30,Virginia Tech,23
Clemson,41,Boston College,10
Georgia Tech,35,Virginia Tech,20
Pittsburgh,34,Florida State,31
Southern Methodist,34,Stanford,10
California,21,North Carolina,18
Louisville,24,Miami ,21
Georgia Tech,27,Duke,18
Pittsburgh,30,Syracuse,13
Southern Methodist,35,Clemson,24
Stanford,20,Florida State,13
Virginia Tech,42,California,34
Georgia Tech,41,Syracuse,16
Louisville,38,Boston College,24
Miami ,42,Stanford,7
Pittsburgh,53,North Carolina State,34
Virginia,17,North Carolina,16
Wake Forest,13,Southern Methodist,12
North Carolina,27,Syracuse,10
Duke,46,Clemson,45
Florida State,42,Wake Forest,7
Louisville,28,Virginia Tech,16
North Carolina State,48,Georgia Tech,36
Pittsburgh,35,Stanford,20
Southern Methodist,26,Miami ,20
Virginia,31,California,21
California,29,Louisville,26
Clemson,24,Florida State,10
Miami ,38,Syracuse,10
North Carolina,20,Stanford,15
Southern Methodist,45,Boston College,13
Wake Forest,16,Virginia,9
Clemson,20,Louisville,19
Florida State,34,Virginia Tech,14
Georgia Tech,36,Boston College,34
Miami ,41,North Carolina State,7
Virginia,34,Duke,17
Wake Forest,28,North Carolina,12
North Carolina State,21,Florida State,11
Stanford,31,California,10
Duke,32,North Carolina,25
Southern Methodist,38,Louisville,6
Miami ,34,Virginia Tech,17
Pittsburgh,42,Georgia Tech,28
Boston College,,Syracuse,
Miami ,,Pittsburgh,
North Carolina,,North Carolina State,
Southern Methodist,,California,
Virginia Tech,,Virginia,
Wake Forest,,Duke,
