Winner,WPts,Loser,LPts
Oregon,34,Northwestern,14
Southern California,33,Purdue,17
Iowa,38,Rutgers,28
Indiana,63,Illinois,10
Maryland,27,Wisconsin,10
Michigan,30,Nebraska,27
Southern California,45,Michigan State,31
Illinois,34,Southern California,32
Indiana,20,Iowa,15
Minnesota,31,Rutgers,28
Northwestern,17,UCLA,14
Ohio State,24,Washington,6
Oregon,30,Penn State,24
Illinois,43,Purdue,27
Michigan,24,Wisconsin,10
Nebraska,38,Michigan State,27
Ohio State,42,Minnesota,3
UCLA,42,Penn State,37
Washington,24,Maryland,20
Washington,38,Rutgers,19
Indiana,30,Oregon,20
Iowa,37,Wisconsin,0
Minnesota,27,Purdue,20
Nebraska,34,Maryland,31
Northwestern,22,Penn State,21
Ohio State,34,Illinois,16
Southern California,31,Michigan,13
UCLA,38,Michigan State,13
Minnesota,24,Nebraska,6
Indiana,38,Michigan State,13
Iowa,25,Penn State,24
Michigan,24,Washington,7
Northwestern,19,Purdue,0
Ohio State,34,Wisconsin,0
Oregon,56,Rutgers,10
UCLA,20,Maryland,17
Indiana,56,UCLA,6
Iowa,41,Minnesota,3
Michigan,31,Michigan State,20
Nebraska,28,Northwestern,21
Oregon,21,Wisconsin,7
Rutgers,27,Purdue,24
Washington,42,Illinois,25
Illinois,35,Rutgers,13
Indiana,55,Maryland,10
Michigan,21,Purdue,16
Minnesota,23,Michigan State,20
Ohio State,38,Penn State,14
Southern California,21,Nebraska,17
Southern California,38,Northwestern,17
Indiana,27,Penn State,24
Nebraska,28,UCLA,21
Ohio State,34,Purdue,10
Oregon,18,Iowa,16
Rutgers,35,Maryland,20
Wisconsin,13,Washington,10
Oregon,42,Minnesota,13
Illinois,24,Maryland,6
Indiana,31,Wisconsin,7
Michigan,24,Northwestern,22
Ohio State,48,UCLA,10
Penn State,28,Michigan State,10
Southern California,26,Iowa,21
Washington,49,Purdue,13
Illinois,,Wisconsin,
Michigan,,Maryland,
Michigan State,,Iowa,
Minnesota,,Northwestern,
Nebraska,,Penn State,
Rutgers,,Ohio State,
Southern California,,Oregon,
Washington,,UCLA,
Indiana,,Purdue,
Iowa,,Nebraska,
Maryland,,Michigan State,
Northwestern,,Illinois,
Ohio State,,Michigan,
Oregon,,Washington,
Penn State,,Rutgers,
UCLA,,Southern California,
Wisconsin,,Minnesota,
