Winner,WPts,Loser,LPts
Utah State,49,Air Force,30
Boise State,49,Air Force,37
Fresno State,23,Hawaii,21
Hawaii,44,Air Force,35
San Diego State,45,Colorado State,24
San Jose State,35,New Mexico,28
Fresno State,20,Nevada,17
Nevada-Las Vegas,31,Wyoming,17
Colorado State,49,Fresno State,21
Boise State,41,New Mexico,25
Nevada-Las Vegas,51,Air Force,48
San Diego State,44,Nevada,10
Wyoming,35,San Jose State,28
Hawaii,44,Utah State,26
Utah State,30,San Jose State,25
Air Force,24,Wyoming,21
Boise State,56,Nevada-Las Vegas,31
Hawaii,31,Colorado State,19
New Mexico,24,Nevada,22
Boise State,24,Nevada,3
New Mexico,33,Utah State,14
San Diego State,23,Fresno State,0
Wyoming,28,Colorado State,0
Fresno State,30,Boise State,7
New Mexico,40,Nevada-Las Vegas,35
San Diego State,24,Wyoming,7
San Jose State,45,Hawaii,38
Air Force,26,San Jose State,16
Hawaii,38,San Diego State,6
Nevada-Las Vegas,42,Colorado State,10
Utah State,51,Nevada,14
Fresno State,24,Wyoming,3
Nevada,55,San Jose State,10
Nevada-Las Vegas,29,Utah State,26
New Mexico,20,Colorado State,17
San Diego State,17,Boise State,7
Hawaii,,Nevada-Las Vegas,
Colorado State,,Boise State,
Nevada,,Wyoming,
New Mexico,,Air Force,
San Jose State,,San Diego State,
Utah State,,Fresno State,
Air Force,,Colorado State,
Boise State,,Utah State,
San Diego State,,New Mexico,
Fresno State,,San Jose State,
Nevada-Las Vegas,,Nevada,
Wyoming,,Hawaii,
