Winner,WPts,Loser,LPts
Southern Mississippi,38,Appalachian State,22
Coastal Carolina,38,South Alabama,20
James Madison,35,Georgia Southern,10
Louisiana,54,Marshall,51
Louisiana-Monroe,28,Arkansas State,16
Arkansas State,31,Texas State,30
James Madison,14,Georgia State,7
Old Dominion,47,Coastal Carolina,7
Troy,31,South Alabama,24
Southern Mississippi,38,Georgia Southern,35
Appalachian State,41,Georgia State,20
Coastal Carolina,23,Louisiana-Monroe,8
James Madison,24,Louisiana,14
Marshall,48,Old Dominion,24
Troy,48,Texas State,41
Arkansas State,15,South Alabama,14
Coastal Carolina,45,Appalachian State,37
Georgia Southern,41,Georgia State,24
James Madison,63,Old Dominion,27
Marshall,40,Texas State,37
Southern Mississippi,22,Louisiana,10
Troy,37,Louisiana-Monroe,14
South Alabama,38,Georgia State,31
Arkansas State,34,Georgia Southern,24
Old Dominion,24,Appalachian State,21
Southern Mississippi,49,Louisiana-Monroe,21
Troy,35,Louisiana,23
James Madison,52,Texas State,20
Coastal Carolina,44,Marshall,27
Arkansas State,23,Troy,10
Louisiana,31,South Alabama,22
Old Dominion,31,Louisiana-Monroe,6
Georgia Southern,25,Appalachian State,23
Coastal Carolina,40,Georgia State,27
James Madison,35,Marshall,23
Louisiana,42,Texas State,39
Southern Mississippi,27,Arkansas State,21
Old Dominion,33,Troy,0
Georgia Southern,45,Coastal Carolina,40
James Madison,58,Appalachian State,10
Marshall,30,Georgia State,18
South Alabama,26,Louisiana-Monroe,14
Texas State,41,Southern Mississippi,14
Louisiana,0,Arkansas State,0
Georgia State,,Troy,
Louisiana-Monroe,,Texas State,
Marshall,,Appalachian State,
Old Dominion,,Georgia Southern,
Southern Mississippi,,South Alabama,
Arkansas State,,Appalachian State,
Georgia Southern,,Marshall,
Georgia State,,Old Dominion,
James Madison,,Coastal Carolina,
Louisiana-Monroe,,Louisiana,
South Alabama,,Texas State,
Troy,,Southern Mississippi,
