Winner,WPts,Loser,LPts
Mississippi,30,Kentucky,23
Georgia,44,Tennessee,41
Louisiana State,20,Florida,10
Mississippi,41,Arkansas,35
Vanderbilt,31,South Carolina,7
Missouri,29,South Carolina,20
Oklahoma,24,Auburn,17
Alabama,24,Georgia,21
Mississippi,24,Louisiana State,19
South Carolina,35,Kentucky,13
Tennessee,41,Mississippi State,34
Texas A&M,16,Auburn,10
Alabama,30,Vanderbilt,14
Florida,29,Texas,21
Georgia,35,Kentucky,14
Texas A&M,31,Mississippi State,9
Alabama,27,Missouri,24
Georgia,20,Auburn,10
Louisiana State,20,South Carolina,10
Tennessee,34,Arkansas,31
Texas,23,Oklahoma,6
Texas A&M,34,Florida,17
Alabama,37,Tennessee,20
Florida,23,Mississippi State,21
Georgia,43,Mississippi,35
Missouri,23,Auburn,17
Oklahoma,26,South Carolina,7
Texas,16,Kentucky,13
Texas A&M,45,Arkansas,42
Vanderbilt,31,Louisiana State,24
Alabama,29,South Carolina,22
Auburn,33,Arkansas,24
Mississippi,34,Oklahoma,26
Tennessee,56,Kentucky,34
Texas,45,Mississippi State,38
Texas A&M,49,Louisiana State,25
Vanderbilt,17,Missouri,10
Georgia,24,Florida,20
Kentucky,10,Auburn,3
Mississippi,30,South Carolina,14
Mississippi State,38,Arkansas,35
Oklahoma,33,Tennessee,27
Texas,34,Vanderbilt,31
Alabama,20,Louisiana State,9
Georgia,41,Mississippi State,21
Kentucky,38,Florida,7
Texas A&M,38,Missouri,17
Vanderbilt,45,Auburn,38
Georgia,35,Texas,10
Louisiana State,23,Arkansas,22
Mississippi,34,Florida,24
Missouri,49,Mississippi State,27
Oklahoma,23,Alabama,21
Texas A&M,31,South Carolina,30
Arkansas,,Texas,
Kentucky,,Vanderbilt,
Missouri,,Oklahoma,
Tennessee,,Florida,
Mississippi,,Mississippi State,
Texas A&M,,Texas,
Alabama,,Auburn,
Louisiana State,,Oklahoma,
Missouri,,Arkansas,
Vanderbilt,,Tennessee,
